0,0,S,5,0,1426
0,1,O,2,0,1090
0,2,O,1,0,1022
0,3,O,3,0,735
0,4,O,0,0,718
0,5,O,2,0,1017
0,6,S,5,0,656
0,7,O,8,0,993
0,8,O,2,0,719
0,9,S,4,0,701
0,10,S,1,0,606
0,11,O,3,0,600
0,12,S,5,0,1162
0,13,S,0,0,870
0,14,O,5,0,696
0,15,O,8,1,1342
0,16,S,5,0,659
0,17,S,0,0,823
0,18,O,2,1,961
0,19,O,3,0,579
1,0,U,0,0,1924
1,1,B,5,1,1343
1,2,U,6,0,972
1,3,B,5,0,689
1,4,U,2,0,736
1,5,B,0,0,756
1,6,B,6,1,1757
1,7,B,4,0,2726
1,8,B,6,0,1156
1,9,B,0,0,704
1,10,B,2,1,1344
1,11,U,4,1,1953
1,12,U,3,0,1010
1,13,U,1,0,689
1,14,U,0,1,1486
1,15,B,3,0,1055
1,16,B,6,0,707
1,17,U,1,0,669
1,18,U,5,0,652
1,19,U,3,0,969
2,0,S,0,0,1500
2,1,B,2,1,2048
2,2,O,7,0,981
2,3,B,0,0,905
2,4,O,5,0,574
2,5,B,5,0,769
2,6,O,0,0,517
2,7,B,2,0,611
2,8,O,8,0,600
2,9,B,4,0,1208
2,10,O,4,0,502
2,11,B,5,0,1203
2,12,O,7,0,657
2,13,U,6,0,800
2,14,S,0,0,645
2,15,B,4,0,1015
2,16,O,3,0,603
2,17,U,6,1,1124
2,18,S,5,0,640
2,19,U,2,0,572
2,20,O,0,0,785
2,21,B,4,0,1329
2,22,S,1,0,677
2,23,B,3,0,1031
2,24,O,0,0,611
2,25,U,1,0,534
2,26,O,7,0,644
2,27,U,2,0,648
2,28,S,0,0,776
2,29,B,3,1,1219
2,30,O,3,0,642
2,31,U,4,0,1022
2,32,S,4,1,1228
2,33,U,2,0,1630
2,34,S,1,0,713
2,35,U,4,0,673
2,36,O,8,0,959
2,37,U,2,0,655
2,38,S,2,1,1299
2,39,B,5,0,746
3,0,S,1,0,1305
3,1,U,2,0,660
3,2,O,4,0,558
3,3,U,0,1,1289
3,4,S,1,0,532
3,5,B,4,0,829
3,6,O,8,0,909
3,7,U,0,1,1339
3,8,S,2,0,691
3,9,U,5,0,1469
3,10,O,5,0,589
3,11,U,1,0,677
3,12,S,1,0,668
3,13,B,4,0,667
3,14,S,4,0,744
3,15,B,6,0,985
3,16,S,0,0,561
3,17,U,3,0,1377
3,18,S,5,0,829
3,19,U,5,0,579
3,20,S,4,0,704
3,21,B,3,1,1068
3,22,S,3,0,543
3,23,U,0,0,832
3,24,S,5,0,722
3,25,B,5,0,874
3,26,S,1,0,571
3,27,B,2,1,1476
3,28,O,6,0,558
3,29,B,0,0,1034
3,30,S,3,0,628
3,31,B,1,0,719
3,32,S,4,0,521
3,33,U,4,0,1158
3,34,S,3,0,885
3,35,B,0,0,1070
3,36,S,1,0,521
3,37,B,3,1,1037
3,38,S,3,0,1249
3,39,B,4,0,782
4,0,S,4,0,1956
4,1,O,3,0,1079
4,2,O,8,0,707
4,3,S,4,1,1111
4,4,O,8,0,566
4,5,O,7,0,534
4,6,O,8,0,394
4,7,O,7,0,368
4,8,O,6,0,398
4,9,S,4,0,587
4,10,S,5,0,443
4,11,S,0,0,579
4,12,S,2,0,564
4,13,O,5,0,519
4,14,O,8,0,455
4,15,O,0,0,798
4,16,O,5,0,439
4,17,O,0,0,431
4,18,O,3,0,408
4,19,O,7,0,364
5,0,O,3,0,2102
5,1,U,6,1,1312
5,2,S,2,0,811
5,3,U,4,1,1504
5,4,O,0,0,531
5,5,B,1,1,6810
5,6,O,5,0,1428
5,7,B,5,0,829
5,8,S,2,1,1428
5,9,B,2,1,2506
5,10,O,0,0,2140
5,11,B,6,1,2258
5,12,S,3,0,1641
5,13,U,5,0,2398
5,14,S,1,0,1432
5,15,B,3,1,1389
5,16,S,4,0,648
5,17,U,2,0,1042
5,18,S,2,0,736
5,19,U,6,0,983
5,20,S,3,0,765
5,21,U,3,0,1452
5,22,O,4,1,1160
5,23,U,5,1,1164
5,24,S,2,0,642
5,25,U,0,1,1962
5,26,S,3,0,1049
5,27,U,5,0,973
5,28,S,4,0,1062
5,29,B,2,1,2175
5,30,S,3,0,807
5,31,B,4,0,956
5,32,S,5,0,748
5,33,U,2,0,813
5,34,O,4,0,519
5,35,B,0,0,1065
5,36,O,7,0,1190
5,37,B,6,0,1449
5,38,S,4,0,685
5,39,U,4,0,829
6,0,S,2,0,1179
6,1,B,4,0,1744
6,2,S,3,0,517
6,3,U,3,0,1843
6,4,O,4,0,664
6,5,B,1,0,1165
6,6,O,3,0,1136
6,7,B,4,0,3210
6,8,O,0,1,1165
6,9,U,1,0,1125
6,10,O,3,0,899
6,11,B,3,1,1377
6,12,S,4,0,548
6,13,U,6,0,691
6,14,S,1,0,791
6,15,B,1,0,987
6,16,O,7,0,2576
6,17,U,4,0,829
6,18,S,3,0,938
6,19,U,2,0,834
6,20,S,4,0,600
6,21,B,0,0,880
6,22,S,3,0,493
6,23,B,1,0,548
6,24,S,4,0,659
6,25,B,4,0,1398
6,26,O,2,1,919
6,27,U,5,0,605
6,28,O,5,0,566
6,29,U,4,0,707
6,30,S,2,1,1112
6,31,U,1,0,705
6,32,S,3,0,642
6,33,U,4,0,536
6,34,S,5,0,534
6,35,B,1,1,965
6,36,S,2,0,487
6,37,B,5,0,470
6,38,O,1,1,992
6,39,B,1,1,896
